"","year","chinook","pod","heading","whales","sot.n","tot.time","rolling","cartwheel","breach","pecslap","dorsal.slap","tailslap","other.perc","spyhop","tide","tot.breach","tot.perc","pwm","bwm","swm","npods"
"190",2002,1.56,"J","N",16,0.06,12,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"191",2002,1.56,"K","S",14,0.64,16,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"192",2002,1.56,"K","S",13,0.08,13,0,0,0,0,0,0,0,0,"slack",0,0,0,0,0,1
"193",2002,1.56,"K","S",17,0.71,20,0,0,2,0,0,0,0,0,"ebb",2,0,0,0.00588235294117647,0,1
"194",2002,1.56,"K","N",18,1.61,40,0,0,0,0,0,2,0,1,"flood",0,2,0.00277777777777778,0,0.00138888888888889,1
"195",2002,1.56,"K","S",18,0.5,18,0,0,2,0,0,0,0,0,"slack",2,0,0,0.00617283950617284,0,1
"196",2002,1.56,"K","N",18,0.33,12,0,0,1,0,0,0,0,0,"flood",1,0,0,0.00462962962962963,0,1
"197",2002,1.56,"KL","N",27,0.7,32,0,0,0,0,0,1,0,2,"ebb",0,1,0.00115740740740741,0,0.00231481481481481,2
"198",2002,1.56,"KL","S",19,0.16,16,1,0,0,0,0,0,0,6,"ebb",0,0,0,0,0.0197368421052632,2
"199",2002,1.56,"L","S",7,0.43,23,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"200",2002,1.56,"L","S",13,0.77,18,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"201",2002,1.56,"J","N",14,0.07,9,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"202",2002,1.56,"J","N",19,1.05,40,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"203",2002,1.56,"JL","N",34,0.38,29,1,0,4,4,0,26,0,5,"flood",4,30,0.0304259634888438,0.00405679513184584,0.0050709939148073,2
"204",2002,1.56,"K","N",15,2.33,51,0,0,2,0,0,3,0,0,"flood",2,3,0.00392156862745098,0.00261437908496732,0,1
"205",2002,1.56,"JK","N",35,0.51,43,0,0,2,0,0,1,0,0,"flood",2,1,0.000664451827242525,0.00132890365448505,0,2
"206",2002,1.56,"K","S",16,0.13,21,0,0,0,1,0,1,0,0,"flood",0,2,0.00595238095238095,0,0,1
